sample_id,file,snr_db,velocity_kmh,kmax,num_paths,max_delay,pilot_snr_db,pilot_power,noise_power,M,N
0,sample_000000.npz,10,30,0.11860056718156518,4,4,25,31.622776601683796,0.1,32,16
1,sample_000001.npz,10,30,0.11860056718156518,4,4,25,31.622776601683796,0.1,32,16
2,sample_000002.npz,10,30,0.11860056718156518,4,4,25,31.622776601683796,0.1,32,16
3,sample_000003.npz,10,30,0.11860056718156518,4,4,25,31.622776601683796,0.1,32,16
4,sample_000004.npz,10,30,0.11860056718156518,4,4,25,31.622776601683796,0.1,32,16
5,sample_000005.npz,10,30,0.11860056718156518,4,4,25,31.622776601683796,0.1,32,16
6,sample_000006.npz,10,30,0.11860056718156518,4,4,25,31.622776601683796,0.1,32,16
7,sample_000007.npz,10,30,0.11860056718156518,4,4,25,31.622776601683796,0.1,32,16
8,sample_000008.npz,10,30,0.11860056718156518,4,4,25,31.622776601683796,0.1,32,16
9,sample_000009.npz,10,30,0.11860056718156518,4,4,25,31.622776601683796,0.1,32,16
10,sample_000010.npz,10,30,0.11860056718156518,4,4,25,31.622776601683796,0.1,32,16
11,sample_000011.npz,10,30,0.11860056718156518,4,4,25,31.622776601683796,0.1,32,16
12,sample_000012.npz,10,30,0.11860056718156518,4,4,25,31.622776601683796,0.1,32,16
13,sample_000013.npz,10,30,0.11860056718156518,4,4,25,31.622776601683796,0.1,32,16
14,sample_000014.npz,10,30,0.11860056718156518,4,4,25,31.622776601683796,0.1,32,16
15,sample_000015.npz,10,30,0.11860056718156518,4,4,25,31.622776601683796,0.1,32,16
16,sample_000016.npz,10,30,0.11860056718156518,4,4,25,31.622776601683796,0.1,32,16
17,sample_000017.npz,10,30,0.11860056718156518,4,4,25,31.622776601683796,0.1,32,16
18,sample_000018.npz,10,30,0.11860056718156518,4,4,25,31.622776601683796,0.1,32,16
19,sample_000019.npz,10,30,0.11860056718156518,4,4,25,31.622776601683796,0.1,32,16
20,sample_000020.npz,10,30,0.11860056718156518,4,4,25,31.622776601683796,0.1,32,16
21,sample_000021.npz,10,30,0.11860056718156518,4,4,25,31.622776601683796,0.1,32,16
22,sample_000022.npz,10,30,0.11860056718156518,4,4,25,31.622776601683796,0.1,32,16
23,sample_000023.npz,10,30,0.11860056718156518,4,4,25,31.622776601683796,0.1,32,16
24,sample_000024.npz,10,30,0.11860056718156518,4,4,25,31.622776601683796,0.1,32,16
25,sample_000025.npz,10,30,0.11860056718156518,4,4,25,31.622776601683796,0.1,32,16
26,sample_000026.npz,10,30,0.11860056718156518,4,4,25,31.622776601683796,0.1,32,16
27,sample_000027.npz,10,30,0.11860056718156518,4,4,25,31.622776601683796,0.1,32,16
28,sample_000028.npz,10,30,0.11860056718156518,4,4,25,31.622776601683796,0.1,32,16
29,sample_000029.npz,10,30,0.11860056718156518,4,4,25,31.622776601683796,0.1,32,16
30,sample_000030.npz,10,30,0.11860056718156518,4,4,25,31.622776601683796,0.1,32,16
31,sample_000031.npz,10,30,0.11860056718156518,4,4,25,31.622776601683796,0.1,32,16
32,sample_000032.npz,10,30,0.11860056718156518,4,4,25,31.622776601683796,0.1,32,16
33,sample_000033.npz,10,30,0.11860056718156518,4,4,25,31.622776601683796,0.1,32,16
34,sample_000034.npz,10,30,0.11860056718156518,4,4,25,31.622776601683796,0.1,32,16
