seed,snr_db,velocity_kmh,pilot_snr_db,h_hat_nmse_db
42,10,30,25,-9.19616258575974
42,10,120,25,-8.701593956909758
42,10,500,25,-8.258033050882412
42,15,30,25,-9.151143322968814
42,15,120,25,-9.033929078824524
42,15,500,25,-8.727019650193258
42,20,30,25,-9.480644624678026
42,20,120,25,-8.330568214214374
42,20,500,25,-8.725471092598635
43,10,30,25,-9.141722113464038
43,10,120,25,-8.49443459801032
43,10,500,25,-8.5907751125213
43,15,30,25,-8.323460945276404
43,15,120,25,-7.7302258205615715
43,15,500,25,-8.846930168713532
43,20,30,25,-7.786922566058088
43,20,120,25,-8.912256976928516
43,20,500,25,-8.872644827826432
44,10,30,25,-9.137627870633976
44,10,120,25,-8.204635696749772
44,10,500,25,-9.00120860916904
44,15,30,25,-8.946096064103738
44,15,120,25,-8.237539875906553
44,15,500,25,-8.275961611616497
44,20,30,25,-9.452333203533744
44,20,120,25,-7.79788607461362
44,20,500,25,-7.726189468238635
45,10,30,25,-8.721052386073854
45,10,120,25,-7.466430663202603
45,10,500,25,-7.938803631175224
45,15,30,25,-8.966507583739169
45,15,120,25,-7.732843036458013
45,15,500,25,-8.394386648718342
45,20,30,25,-9.688861950023933
45,20,120,25,-7.7897963530575005
45,20,500,25,-7.543885451975881
46,10,30,25,-8.352743363522327
46,10,120,25,-8.572112210816789
46,10,500,25,-8.62325128154007
46,15,30,25,-8.780460049655295
46,15,120,25,-7.272863186038617
46,15,500,25,-8.849148356719713
46,20,30,25,-9.364943694134405
46,20,120,25,-7.94211997195124
46,20,500,25,-7.999457205361637
