epoch,train_loss,validation_loss,learning_rate,best_validation_loss
1,0.3915731210557241,0.3683842338897564,0.001,0.3683842338897564
2,0.38136648355968417,0.3711125621089229,0.001,0.3683842338897564
3,0.36189369985035486,0.37432969455365783,0.001,0.3683842338897564
4,0.34125889369419643,0.38230230543348526,0.001,0.3683842338897564
5,0.3239479418784853,0.3892316182454427,0.001,0.3683842338897564
6,0.30981811114719937,0.39479734985916703,0.0005,0.3683842338897564
7,0.29675600320573836,0.3982868885552442,0.0005,0.3683842338897564
8,0.28786688409154376,0.4004671092386599,0.0005,0.3683842338897564
9,0.2823825132279169,0.40364521256199587,0.0005,0.3683842338897564
10,0.27646749464292375,0.4066625760661231,0.0005,0.3683842338897564
11,0.2734543069960579,0.40884381223607946,0.00025,0.3683842338897564
