epoch,train_loss,validation_loss,learning_rate,best_validation_loss
1,0.5645589612779163,0.4215705196062724,0.001,0.4215705196062724
2,0.41808090701935785,0.38619230190912884,0.001,0.38619230190912884
3,0.39292140309772794,0.3789498258520056,0.001,0.3789498258520056
4,0.3827044852196224,0.3765353017383152,0.001,0.3765353017383152
5,0.3749288831438337,0.37533718215094675,0.001,0.37533718215094675
6,0.3680642057978918,0.3748992730070044,0.001,0.3748992730070044
7,0.3603094392352634,0.37521281992947614,0.001,0.3748992730070044
8,0.35219552573703583,0.37636963658862643,0.001,0.3748992730070044
9,0.34460477942512147,0.3775931199391683,0.001,0.3748992730070044
10,0.3353165049401541,0.3792862516862375,0.001,0.3748992730070044
11,0.3272674374164097,0.3819262400821403,0.0005,0.3748992730070044
12,0.3187832166278173,0.3823786797346892,0.0005,0.3748992730070044
13,0.31458872764829604,0.38336606511363275,0.0005,0.3748992730070044
14,0.3101657250570872,0.38488581313027276,0.0005,0.3748992730070044
15,0.3067718061189803,0.38611893234429534,0.0005,0.3748992730070044
16,0.30353866210059516,0.38687473977053605,0.00025,0.3748992730070044
